SIXBUS LOAD FLOW SAMPLE SYSTEM
------------------------------
6
11
LINE    1    2  1.00000E-01  2.00000E-01  2.00000E-02
LINE    1    4  5.00000E-02  2.00000E-01  2.00000E-02
LINE    1    5  8.00000E-02  3.00000E-01  3.00000E-02
LINE    2    3  5.00000E-02  2.50000E-01  3.00000E-02
LINE    2    4  5.00000E-02  1.00000E-01  1.00000E-02
LINE    2    5  1.00000E-01  3.00000E-01  2.00000E-02
LINE    2    6  7.00000E-02  2.00000E-01  2.50000E-02
LINE    3    5  1.20000E-01  2.60000E-01  2.50000E-02
LINE    3    6  2.00000E-02  1.00000E-01  1.00000E-02
LINE    4    5  2.00000E-01  4.00000E-01  4.00000E-02
LINE    5    6  1.00000E-01  3.00000E-01  3.00000E-02
V    1     1.0500000000E+00  1.000E-04
A    1     0.0000000000E+00  1.000E-04
I    1     1.0787184633E+00  1.000E-02     2.0661845008E-01  1.000E-02
I    2     4.9999997667E-01  1.000E-02     1.0000000976E+00  1.000E-02
I    3     5.9999998886E-01  1.000E-02     5.9999999981E-01  1.000E-02
I    4    -6.9999998106E-01  1.000E-02    -7.0000000149E-01  1.000E-02
I    5    -6.9999998542E-01  1.000E-02    -6.9999999869E-01  1.000E-02
I    6    -6.9999998572E-01  1.000E-02    -6.9999999611E-01  1.000E-02
F    1     2      2.8692958226E-01  1.000E-02    -1.5370907927E-01  1.000E-02
F    1     4      4.3642327198E-01  1.000E-02     2.0994987977E-01  1.000E-02
F    1     5      3.5536560904E-01  1.000E-02     1.5037764958E-01  1.000E-02
F    2     1     -2.7788988173E-01  1.000E-02     1.2769252902E-01  1.000E-02
F    2     3      1.6235984680E-02  1.000E-02    -6.8377435238E-03  1.000E-02
F    2     4      3.3625310387E-01  1.000E-02     4.7475533514E-01  1.000E-02
F    2     5      1.5913964961E-01  1.000E-02     1.9011396619E-01  1.000E-02
F    2     6      2.6626112024E-01  1.000E-02     2.1427601078E-01  1.000E-02
F    3     2     -1.6192816564E-02  1.000E-02    -5.8643777671E-02  1.000E-02
F    3     5      1.8031588029E-01  1.000E-02     1.6516547801E-01  1.000E-02
F    3     6      4.3587692513E-01  1.000E-02     4.9347829947E-01  1.000E-02
F    4     1     -4.2534439595E-01  1.000E-02    -2.0719387094E-01  1.000E-02
F    4     2     -3.2042041368E-01  1.000E-02    -4.6386767806E-01  1.000E-02
F    4     5      4.5764828562E-02  1.000E-02    -2.8938452493E-02  1.000E-02
F    5     1     -3.4376001515E-01  1.000E-02    -1.6841831211E-01  1.000E-02
F    5     2     -1.5275868126E-01  1.000E-02    -2.1200810555E-01  1.000E-02
F    5     3     -1.7264611277E-01  1.000E-02    -1.9947687706E-01  1.000E-02
F    5     4     -4.5314578723E-02  1.000E-02    -4.7162224578E-02  1.000E-02
F    5     6      1.4479402490E-02  1.000E-02    -7.2934479405E-02  1.000E-02
F    6     2     -2.5804510998E-01  1.000E-02    -2.4269807516E-01  1.000E-02
F    6     3     -4.2770560888E-01  1.000E-02    -4.7323343926E-01  1.000E-02
F    6     5     -1.4249266863E-02  1.000E-02     1.5931518316E-02  1.000E-02
Q
