UNIT COMMITMENT DATA FILE - 8 PERIODS (24 HOURS)/8 UNITS
--------------------------------------------------------
8
unit 1 data
25.0  80.0  10440.0
213.0  350.0  2.0
4  2  -5
unit 2 data
60.0  250.0  9000.0
585.62  400.0  2.0
5  3  8
unit 3 data
75.0  300.0  8730.0
684.74 1100.0  2.0
5  4  8
unit 4 data
20.0  60.0 11900.0
252.0  0.02 1.2
1  1  -6
unit 5 data
25.0  60.0  12440.0
113.0  350.0  1.5
1  1  -5
unit 6 data
25.0  480.0  8440.0
293.0  100.0  1.5
1  1  -5
unit 7 data
225.0  800.0  8440.0
305.0  400.0  1.35
4  2  -5
unit 8 data
60.0  300.0  9000.0
700.0  200.0  1.2
5  3  8
8  3.0
450.0  630.0  950.0  2200.0  1800.0  720.0  290.0  1500.0



